,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
akhirannya,0.6270842625726846,0.13521273635919365,0.23770300106812184,1.0
aki,0.097631817111339,0.7017724207665078,0.20059576212215324,1.0
akibat,0.4028515284548123,0.18551317421252403,0.41163529733266363,1.0
akibatnya,0.1841544997387841,0.7526445284205935,0.06320097184062244,1.0
akomodasi,0.42622091271218066,0.4347631579725976,0.13901592931522172,1.0
akreditasi,0.025701363514036544,0.9569096514136217,0.01738898507234166,0.9999999999999999
akrobatik,0.09256892949541345,0.7071178880762402,0.2003131824283463,0.9999999999999999
aks,0.10894672237823726,0.5953786760128877,0.29567460160887504,1.0
aksara,0.9498302024292369,0.018616048089682407,0.03155374948108069,1.0
akseleromet,0.05770752995289721,0.8163365204551783,0.1259559495919244,1.0
aksesibilita,0.04398120193259313,0.2810148967911187,0.6750039012762883,1.0
aksesnya,0.6283091355194541,0.14147603530343328,0.23021482917711275,1.0
aksesori,0.42900804434585527,0.5144446797556232,0.05654727589852147,1.0
aksi,0.016733734554345864,0.5271212839081862,0.45614498153746785,1.0
aktif,0.23565554933556573,0.7318663761895606,0.03247807447487369,1.0
aktifita,0.4244489676722344,0.5399194811788037,0.0356315511489619,1.0
aktifitasnya,0.09187549131535988,0.7078500324006775,0.20027447628396275,1.0
aktivasi,0.09284204145816502,0.7068295350329779,0.2003284235088571,1.0
aktivasigaussian,0.09284204145816502,0.7068295350329779,0.2003284235088571,1.0
aktivita,0.058863638828192046,0.786335961707403,0.15480039946440502,1.0
aktor,0.9360441087897792,0.023886513722896453,0.040069377487324274,0.9999999999999999
aktual,0.6177913602735106,0.29793184742575274,0.08427679230073672,1.0
aktualisasi,0.09175393292203793,0.7079783763728733,0.20026769070508876,1.0
akulturasi,0.06501129864219739,0.08360798846645533,0.8513807128913473,1.0
akun,0.23972612112288288,0.6251084198218159,0.1351654590553014,1.0
akunt,0.09175393308954063,0.7079783753220028,0.20026769158845667,1.0
akuntansi,0.042255110003173064,0.8658731622616836,0.09187172773514315,0.9999999999999999
akurasi,0.7715442773614797,0.04076382625090552,0.18769189638761488,1.0
akurasinya,0.623707952187938,0.016115441921174506,0.3601766058908876,1.0
akurasipengujian,0.6336687350401822,0.135817300876879,0.23051396408293884,1.0
akurasiq,0.09308248247347227,0.7065756744530597,0.200341843073468,1.0
akurat,0.44885538719180956,0.3532352202003105,0.19790939260787993,1.0
akuratan,0.06503080434876529,0.08406339439246648,0.8509058012587682,1.0
akusisi,0.06501116878073088,0.08360495791018686,0.8513838733090823,1.0
akut,0.05800659251776483,0.8160268587798349,0.12596654870240023,1.0
al,0.01793985456543277,0.9429348018872693,0.03912534354729794,1.0
alam,0.10595462627375492,0.47677436488171465,0.4172710088445304,1.0
alamat,0.07816106278564978,0.8480805783089151,0.07375835890543528,1.0000000000000002
alami,0.31167390241773574,0.2928306207370092,0.3954954768452551,1.0
alaminya,0.6336687339299151,0.13581730114404433,0.23051396492604068,1.0
alarm,0.03624920358053353,0.4999360436540472,0.4638147527654193,1.0
alasan,0.17432421862376482,0.47339594975633,0.35227983161990517,1.0
alasannnya,0.09175393321628093,0.7079783745301812,0.20026769225353785,1.0
alat,0.20691589978731384,0.4209065959118717,0.3721775043008146,1.0000000000000002
alatalat,0.04629627673441307,0.3539309750403118,0.5997727482252752,1.0
alatnya,0.09175393304139592,0.7079783756249182,0.200267691333686,1.0
albab,0.09175393315479756,0.7079783749141219,0.20026769193108063,1.0
albopictu,0.6335205076983056,0.1359738011953777,0.23050569110631666,1.0
alcohol,0.7602633954853091,0.08888233596099515,0.15085426855369574,1.0
aldousbrod,0.0915198944582368,0.7025141758236643,0.20596592971809902,1.0
alena,0.04208965584143825,0.8660429122196206,0.0918674319389411,0.9999999999999999
alergi,0.09175393307146779,0.7079783754406744,0.20026769148785764,0.9999999999999998
alert,0.015900805802051856,0.675927610783149,0.3081715834147992,1.0
alfa,0.09173324993222427,0.7074954766479391,0.20077127341983658,1.0
alfabet,0.14093915636783486,0.8007727954228999,0.05828804820926523,1.0
alfabeti,0.06522760339576636,0.0886581194845437,0.8461142771196899,1.0
alfagram,0.020797384325457163,0.027906255188829505,0.9512963604857132,0.9999999999999999
algorithm,0.18925715658495107,0.022126069747124392,0.7886167736679245,1.0
algoritm,0.020856505308660414,0.026922929686999615,0.95222056500434,1.0
algoritma,0.23351497410034544,0.24632258467714974,0.5201624412225048,1.0
algoritmanya,0.3773889340384464,0.48532572377617084,0.13728534218538263,0.9999999999999998
algortihm,0.6336687348702089,0.13581730091642688,0.23051396421336426,1.0
algortima,0.038033662808041845,0.049063123158401924,0.9129032140335563,1.0
alir,0.09175393301010869,0.7079783758176943,0.20026769117219698,1.0
aliran,0.43899950465611753,0.28941462163433146,0.27158587370955106,1.0
aliyah,0.8464314627321902,0.06460817478216521,0.08896036248564461,1.0
alkohol,0.857985713298796,0.05281724501757645,0.08919704168362767,1.0000000000000002
all,0.9667970334660203,0.012309998441455436,0.020892968092524316,1.0
allidb,0.8582403626164405,0.05255737956904412,0.08920225781451538,1.0
allimin,0.5884381966612033,0.1835722987590842,0.22798950457971248,1.0
allnegatif,0.8218332421456437,0.0660553178385965,0.11211144001575979,1.0
allpositif,0.8218332421456437,0.0660553178385965,0.11211144001575979,1.0
allupurinol,0.6131570860425594,0.13522930960799295,0.2516136043494478,1.0
allwhit,0.633668735947309,0.13581730066321987,0.23051396338947105,0.9999999999999999
almadani,0.038029645935408626,0.04890647263049669,0.9130638814340948,1.0
alokasi,0.06501116872138205,0.08360495781335117,0.8513838734652668,1.0
alpha,0.15352387392908665,0.12735188287391389,0.7191242431969995,1.0
alphabet,0.7602633955836103,0.08888233593748582,0.15085426847890374,0.9999999999999999
alphanumer,0.21408151764683914,0.5788231973296568,0.20709528502350408,1.0
alphanumerik,0.0203783926484319,0.9355066257848111,0.044114981566756965,1.0
